University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
University of Minnesota - Twin Cities (UM),micab,24100.0,1.2,2011.0,4th,nan,"$24,500",,,$400,micab
Princeton University,quantitative and computational biology,31900.0,1.46,2011.0,,nan,"$31,900",,,,quantitative and computational biology
Texas A&amp;amp;M; University - College Station,civil engineering,14200.0,,2011.0,2nd,nan,"$16,200",,,"$2,000",civil engineering
University of Missouri (MU),psychological sciences,12999.0,0.82,2011.0,4th,nan,,"$13,499",,$500,psychological sciences
Northwestern University (NU),chemistry,28000.0,1.28,2011.0,1st,"Don&#39;t remember required fees.<br>I believe there was a ~$80 per quarter for the U-Pass public transit <span class=""truncated""> card.</span>","$28,000",,,,chemistry
Texas A&amp;amp;M; University - College Station,statistics,65000.0,,2011.0,,nan,"$65,000",,,,statistics
New Mexico State University (NMSU),astronomy,18058.0,1.07,2011.0,2nd,nan,,"$15,800","$7,588","$5,330",astronomy
University of Iowa (UI),nan,13700.0,0.77,2011.0,2nd,nan,"$15,000",,,"$1,300",nan
Copenhagen Business School,econ,50000.0,,2011.0,3rd,nan,"$50,000",,,,econ
Georgia State University (GSU),communication,15000.0,0.71,2011.0,3rd,nan,"$15,000",,,,communication
University of California - San Diego (UCSD),bioengineering,30000.0,1.27,2011.0,4th,"I was on an NSF GRF,<br>so I&#39;m not sure this is true of the standard stipend.<br>  I think it was 27500 <span class=""truncated""> by 2012,<br>but I&#39;m not actually sure.<br> </span>","$30,000",,,,bioengineering
University of Michigan - Ann Arbor (UM),pharmacology,28000.0,1.42,2011.0,5th,nan,"$28,000",,,,pharmacology
University of Arkansas for Medical Sciences,physiology,23800.0,1.34,2011.0,5th,nan,"$24,000",,,$200,physiology
Princeton University,religion,24960.0,1.14,2011.0,5th,nan,"$25,000",,,$40,religion
National Institutes of Health (NIH),ninds,39600.0,1.44,2011.0,5th,Health insurance and metro car were included,"$39,600",,,,ninds
University of Southern California (USC),school of education,35000.0,1.48,2011.0,4th,nan,"$35,000",,,,school of education
Emory University,psychology,20000.0,0.95,2011.0,4th,nan,"$21,000",,,"$1,000",psychology
Case Western Reserve University,sociology,16000.0,0.93,2011.0,3rd,nan,,"$16,000",,,sociology
